sku,name,url_key
series_MTU,MTU,series-mtu
series_MTU2,MTU2,series-mtu2
series_MVAB120_2,MVAB120,series-mvab120
series_MVAB120,MVAB120,series-mvab120-1
series_MVAB150,MVAB150,series-mvab150
series_MVAC250_2,MVAC250,series-mvac250
series_MVAC250,MVAC250,series-mvac250-1
series_MVAC400_2,MVAC400,series-mvac400
series_MVAC400,MVAC400,series-mvac400-1
series_MVACCover,MVACCover,series-mvaccover
series_MVAD040,MVAD040,series-mvad040
series_MVAD040-12,MVAD040-12,series-mvad040-13
series_MVAD040-24_48,MVAD040-24_48,series-mvad040-24-48
series_MVAD065-12,MVAD065-12,series-mvad065-13
series_MVAD065-24,MVAD065-24,series-mvad065-25
series_MVAD065-48,MVAD065-48,series-mvad065-49
series_MVAD100,MVAD100,series-mvad100
series_MYBSP,MYBSP,series-mybsp
series_MYLG,MYLG,series-mylg
series_MYSGK,MYSGK,series-mysgk
series_MYSGK1R830,MYSGK1R830,series-mysgk1r830-1
series_NBE,NBE,series-nbe
series_NCA005,NCA005,series-nca005
series_NCA015,NCA015,series-nca015
series_NCF010,NCF010,series-ncf010
series_NCM6_2,NCM6,series-ncm6
series_NCM6,NCM6,series-ncm6-1
series_NCS1,NCS1,series-ncs1
series_NCS12_2,NCS12,series-ncs12
series_NCS12,NCS12,series-ncs12-1
series_NCS3,NCS3,series-ncs3
series_NCS6_2,NCS6,series-ncs6
series_NCS6,NCS6,series-ncs6-1
series_NCX,NCX,series-ncx
series_NDH,NDH,series-ndh
series_NDL,NDL,series-ndl
series_NDS6_2,NDS6,series-nds6
series_NDS6_3,NDS6,series-nds6-1
series_NDS6_4,NDS6,series-nds6-2
series_NDS6,NDS6,series-nds6-3
series_NDTD,NDTD,series-ndtd
series_NDTS,NDTS,series-ndts
series_NDW3,NDW3,series-ndw3
series_NDX,NDX,series-ndx
series_NDY,NDY,series-ndy
series_NEA005,NEA005,series-nea005
series_NEA016,NEA016,series-nea016
series_NEA-NEF010SIP,NEA-NEF010SIP,series-nea-nef010sip
series_NEA-NEF010SMT,NEA-NEF010SMT,series-nea-nef010smt
series_NFA010,NFA010,series-nfa010
series_NFA016,NFA016,series-nfa016
series_NFA020,NFA020,series-nfa020
series_NGA,NGA,series-nga
series_NKA_2,NKA,series-nka
series_NKA,NKA,series-nka-1
series_NKE_2,NKE,series-nke
series_NKE,NKE,series-nke-1
series_NM232DD,NM232DD,series-nm232dd
series_NM485,NM485,series-nm485
series_NM485SLC,NM485SLC,series-nm485slc-1
series_NMA_2,NMA,series-nma
series_NMA,NMA,series-nma-1
series_NMA2,NMA2,series-nma2
series_NMD_2,NMD,series-nmd
series_NMD,NMD,series-nmd-1
series_NME_2,NME,series-nme
series_NME,NME,series-nme-1
series_NME1515SC,NME1515SC,series-nme1515sc-1
series_NME2,NME2,series-nme2
series_NMF_2,NMF,series-nmf
series_NMF_3,NMF,series-nmf-1
series_NMF_4,NMF,series-nmf-2
series_NMF,NMF,series-nmf-3
series_NMG,NMG,series-nmg
series_NMH_2,NMH,series-nmh
series_NMH0524DC1,NMH0524DC1,series-nmh0524dc1
series_NMH,NMH,series-nmh-1
series_NMJ_2,NMJ,series-nmj
series_NMJ,NMJ,series-nmj-1
series_NMK_2,NMK,series-nmk
