sku,name,current_rating,inductors_dc_current_max_a,dc_resistance_max,inductors_dc_resist_max_mom,cmc_dc_resistance_max_mom,dc_resistance_secondary_max,dimension,dimensions_mm,inductors_height_inch,as_tran_height_inch,cs_tran_height_inch,p_tran_height_inch,p_tran_interwind_capac_max_pf,isolation_voltage,as_tran_isolation_voltage_vrms,p_tran_isolation_voltage_vrms,max_leakage_inductance,p_tran_pri_dc_resist_max_om,primary_inductance_typical,rohs_6,turn_ratio,as_tran_turn_ratio,p_tran_turn_ratio,volt_time_product,store_view_code,errors
78602/1JC,78602/1JC,,,0.66,,,,,,,,,0.25,,1000,1000,1000,,0.66,,Yes,1.1,,"1 to 1 to 1",,,
78602/2JC,,,,0.34,,,,,,,,,0.25,,1000,1000,1000,,0.34,,Yes,1.1,,"1 to 1 to 1",,murataps_store_view,
78602/2JC,78602/2JC,,,0.34,,,,,,,,,0.25,,1000,1000,1000,,0.34,,Yes,1.1,,"1 to 1 to 1",,,
78602/3JC,,,,0.24,,,,,,,,,0.25,,1000,1000,1000,,0.24,,Yes,1.1,,"1 to 1 to 1",,murataps_store_view,
78602/3JC,78602/3JC,,,0.24,,,,,,,,,0.25,,1000,1000,1000,,0.24,,Yes,1.1,,"1 to 1 to 1",,,
78602/4JC,,,,0.18,,,,,,,,,0.25,,1000,1000,1000,,0.18,,Yes,1.1,,"1 to 1 to 1",,murataps_store_view,
78602/4JC,78602/4JC,,,0.18,,,,,,,,,0.25,,1000,1000,1000,,0.18,,Yes,1.1,,"1 to 1 to 1",,,
78602/8JC,,,,0.46,,,,,,,,,0.25,,1000,1000,1000,,0.46,,Yes,1.1,,"1 to 1 to 1",,murataps_store_view,
78602/8JC,78602/8JC,,,0.46,,,,,,,,,0.25,,1000,1000,1000,,0.46,,Yes,1.1,,"1 to 1 to 1",,,
78602/9JC,,,,1.8,,,,,,,,,0.25,,1000,1000,1000,,1.8,,Yes,1.1,,"1 to 1 to 1",,murataps_store_view,
78602/9JC,78602/9JC,,,1.8,,,,,,,,,0.25,,1000,1000,1000,,1.8,,Yes,1.1,,"1 to 1 to 1",,,
78604/16JC,,,,0.85,,,,,,,,,0.25,,1000,1000,1000,,0.85,,Yes,2.1,,"2 to 1",,murataps_store_view,
78604/16JC,78604/16JC,,,0.85,,,,,,,,,0.25,,1000,1000,1000,,0.85,,Yes,2.1,,"2 to 1",,,
78604/1JC,,,,0.6,,,,,,,,,0.25,,1000,1000,1000,,0.6,,Yes,2.1,,"2 to 1",,murataps_store_view,
78604/1JC,78604/1JC,,,0.6,,,,,,,,,0.25,,1000,1000,1000,,0.6,,Yes,2.1,,"2 to 1",,,
78604/2JC,,,,0.34,,,,,,,,,0.25,,1000,1000,1000,,0.34,,Yes,2.1,,"2 to 1",,murataps_store_view,
78604/2JC,78604/2JC,,,0.34,,,,,,,,,0.25,,1000,1000,1000,,0.34,,Yes,2.1,,"2 to 1",,,
78604/3JC,,,,0.25,,,,,,,,,0.25,,1000,1000,1000,,0.25,,Yes,2.1,,"2 to 1",,murataps_store_view,
78604/3JC,78604/3JC,,,0.25,,,,,,,,,0.25,,1000,1000,1000,,0.25,,Yes,2.1,,"2 to 1",,,
78604/4JC,,,,0.18,,,,,,,,,0.25,,1000,1000,1000,,0.18,,Yes,2.1,,"2 to 1",,murataps_store_view,
78604/4JC,78604/4JC,,,0.18,,,,,,,,,0.25,,1000,1000,1000,,0.18,,Yes,2.1,,"2 to 1",,,
78604/8JC,,,,0.46,,,,,,,,,0.25,,1000,1000,1000,,0.46,,Yes,2.1,,"2 to 1",,murataps_store_view,
78604/8JC,78604/8JC,,,0.46,,,,,,,,,0.25,,1000,1000,1000,,0.46,,Yes,2.1,,"2 to 1",,,
78604/9JC,,,,1.23,,,,,,,,,0.25,,1000,1000,1000,,1.23,,Yes,2.1,,"2 to 1",,murataps_store_view,
78604/9JC,78604/9JC,,,1.23,,,,,,,,,0.25,,1000,1000,1000,,1.23,,Yes,2.1,,"2 to 1",,,
782482/53VC,,,,0.6,,,,,,,0.25,,,,,4000,,8,,,Yes,1.14CT:1CT,"1.14CT to 1CT",,13,murataps_store_view,
782482/53VC,782482/53VC,,,0.6,,,,,,,0.25,,,,,4000,,8,,,Yes,1.14CT:1CT,"1.14CT to 1CT",,13,,
76253/35ENC,,,,0.8,,,0.8,"0.590 x 0.590 x 0.492","15.0 x 15.0 x 12.5",,0.492,,,,6000,,,,,200,Yes,1:2.236,"1 to 2.236",,25,murataps_store_view,
76253/35ENC,76253/35ENC,,,0.8,,,0.8,"0.590 x 0.590 x 0.492","15.0 x 15.0 x 12.5",,0.492,,,,6000,,,,,200,Yes,1:2.236,"1 to 2.236",,25,,
76250ENC,,,,2,,,2,"0.590 x 0.590 x 0.492","15.0 x 15.0 x 12.5",,0.492,,,,6000,,,,,2,Yes,1CT:1,"1CT to 1",,50,murataps_store_view,
76250ENC,76250ENC,,,2,,,2,"0.590 x 0.590 x 0.492","15.0 x 15.0 x 12.5",,0.492,,,,6000,,,,,2,Yes,1CT:1,"1CT to 1",,50,,
78613/16C,,,,0.88,,,,,,,,,0.25,,1000,,1000,,0.88,,Yes,1CT:1,,"1CT to 1",,murataps_store_view,
78613/16C,78613/16C,,,0.88,,,,,,,,,0.25,,1000,,1000,,0.88,,Yes,1CT:1,,"1CT to 1",,,
78613/16JC,,,,0.88,,,,,,,,,0.25,,1000,1000,1000,,0.88,,Yes,1CT:1,,"1CT to 1",,murataps_store_view,
78613/16JC,78613/16JC,,,0.88,,,,,,,,,0.25,,1000,1000,1000,,0.88,,Yes,1CT:1,,"1CT to 1",,,
78613/1C,,,,0.63,,,,,,,,,0.25,,1000,,1000,,0.63,,Yes,1CT:1,,"1CT to 1",,murataps_store_view,
78613/1C,78613/1C,,,0.63,,,,,,,,,0.25,,1000,,1000,,0.63,,Yes,1CT:1,,"1CT to 1",,,
78613/1JC,,,,0.63,,,,,,,,,0.25,,1000,1000,1000,,0.63,,Yes,1CT:1,,"1CT to 1",,murataps_store_view,
78613/1JC,78613/1JC,,,0.63,,,,,,,,,0.25,,1000,1000,1000,,0.63,,Yes,1CT:1,,"1CT to 1",,,
78613/2C,,,,0.36,,,,,,,,,0.25,,1000,,1000,,0.36,,Yes,1CT:1,,"1CT to 1",,murataps_store_view,
78613/2C,78613/2C,,,0.36,,,,,,,,,0.25,,1000,,1000,,0.36,,Yes,1CT:1,,"1CT to 1",,,
78613/2JC,,,,0.36,,,,,,,,,0.25,,1000,1000,1000,,0.36,,Yes,1CT:1,,"1CT to 1",,murataps_store_view,
78613/2JC,78613/2JC,,,0.36,,,,,,,,,0.25,,1000,1000,1000,,0.36,,Yes,1CT:1,,"1CT to 1",,,
78613/3C,,,,0.25,,,,,,,,,0.25,,1000,,1000,,0.25,,Yes,1CT:1,,"1CT to 1",,murataps_store_view,
78613/3C,78613/3C,,,0.25,,,,,,,,,0.25,,1000,,1000,,0.25,,Yes,1CT:1,,"1CT to 1",,,
78613/3JC,,,,0.25,,,,,,,,,0.25,,1000,1000,1000,,0.25,,Yes,1CT:1,,"1CT to 1",,murataps_store_view,
78613/3JC,78613/3JC,,,0.25,,,,,,,,,0.25,,1000,1000,1000,,0.25,,Yes,1CT:1,,"1CT to 1",,,
78613/4C,,,,0.2,,,,,,,,,0.25,,1000,,1000,,0.2,,Yes,1CT:1,,"1CT to 1",,murataps_store_view,
78613/4C,78613/4C,,,0.2,,,,,,,,,0.25,,1000,,1000,,0.2,,Yes,1CT:1,,"1CT to 1",,,
78613/4JC,,,,0.2,,,,,,,,,0.25,,1000,1000,1000,,0.2,,Yes,1CT:1,,"1CT to 1",,murataps_store_view,
